Title,Location,Price,Area,Carpet Area,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Ownership,Car Parking,Bathroom,Balcony
3 BHK Builder Floor for Sale in Panchsheel Enclave New Delhi,N/A,竄ｹ5.75 Cr,2385 sqft,2385 sqft,Ready to Move,Ground out of 4,New Property,Semi-Furnished,North - East,N/A,Freehold,2 Covered,3,Yes
4 BHK Apartment for Sale in Dwarka New Delhi,N/A,竄ｹ3.50 Cr,1900 sqft,1900 sqft,Ready to Move,7 out of 10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Green Park New Delhi,N/A,竄ｹ9 Cr,350 sqyrd,N/A,N/A,2 out of 4,New Property,Semi-Furnished,East,N/A,Freehold,"2 Covered,",4,Yes
"3 BHK Apartment for Sale in Sarita Vihar, Mathura Road New Delhi",N/A,竄ｹ2.26 Cr,1700 sqft,1700 sqft,Ready to Move,Ground out of 4,Resale,Unfurnished,South - East,Main Road,Freehold,2 Open,2,Yes
5 BHK Villa for Sale in Janakpuri New Delhi,N/A,竄ｹ8.75 Cr,3200 sqft,3200 sqft,Ready to Move,N/A,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,"2 Covered,",4,Yes
4 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,N/A,竄ｹ9 Cr,2200 sqft,2200 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,North - East,Garden/Park,Freehold,"2 Covered,",4,Yes
"4 BHK Apartment for Sale in Sarita Vihar, Mathura Road New Delhi",N/A,竄ｹ1.85 Cr,2000 sqft,2000 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,3 Open,3,Yes
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ2.90 Cr,190 sqyrd,190 sqyrd,Ready to Move,2 out of 3,New Property,Semi-Furnished,N/A,N/A,Freehold,1 Open,3,Yes
3 BHK Apartment for Sale in Patel Nagar New Delhi,N/A,竄ｹ6.98 Cr,2306 sqft,N/A,N/A,N/A,New Property,Unfurnished,N/A,N/A,N/A,1 Covered,3,N/A
4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ11 Cr,500 sqyrd,500 sqyrd,Ready to Move,2 out of 4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,2 Covered,4,Yes
4 BHK Builder Floor for Sale in Vasant Vihar New Delhi,N/A,竄ｹ11 Cr,2200 sqft,2200 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,South - East,Garden/Park,Freehold,"2 Covered,",5,Yes
3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,N/A,竄ｹ7.35 Cr,2150 sqft,2150 sqft,Ready to Move,1 out of 3,Resale,Semi-Furnished,North - East,N/A,Freehold,1 Covered,2,Yes
2 BHK Apartment for Sale in Residential New Delhi,N/A,竄ｹ3 Cr,1200 sqft,1200 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,East,Main Road,Freehold,N/A,2,Yes
3 BHK Apartment for Sale in Chattarpur New Delhi,N/A,竄ｹ6.29 Cr,3300 sqft,N/A,Ready to Move,N/A,New Property,Semi-Furnished,N/A,N/A,N/A,1 Covered,4,N/A
4 BHK Builder Floor for Sale in Navjeevan Vihar New Delhi,N/A,竄ｹ5.50 Cr,2250 sqft,2250 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,2 Covered,4,Yes
"4 BHK Builder Floor for Sale in Hauz Khas Enclave, Hauz Khas New Delhi",N/A,竄ｹ12.95 Cr,3500 sqft,N/A,Ready to Move,Ground out of 2,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"2 Covered,",5,Yes
3 BHK Apartment for Sale in Bijwasan New Delhi,N/A,竄ｹ6.08 Cr,1250 sqft,1250 sqft,N/A,9 out of 12,New Property,Semi-Furnished,North,"Garden/Park, Pool",Freehold,2 Covered,3,Yes
3 BHK Apartment for Sale in Model Town New Delhi,N/A,竄ｹ3.50 Cr,2450 sqft,N/A,Ready to Move,N/A,New Property,Semi-Furnished,N/A,N/A,N/A,N/A,3,N/A
3 BHK Apartment for Sale in Sector 7 Dwarka New Delhi,N/A,竄ｹ2.65 Cr,1400 sqft,1400 sqft,Ready to Move,2 out of 7,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
"4 BHK Apartment for Sale in Okhla Vihar, Okhla New Delhi",N/A,竄ｹ9.95 Cr,2926 sqft,2926 sqft,N/A,11 out of 29,New Property,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Leasehold,"2 Covered,",4,Yes
"5 BHK Builder Floor for Sale in Hauz Khas Enclave, Hauz Khas New Delhi",N/A,竄ｹ24 Cr,5200 sqft,5200 sqft,Ready to Move,4 out of 4,Resale,Unfurnished,South,Garden/Park,Freehold,N/A,6,Yes
3 BHK Apartment for Sale in Sector 6 Dwarka New Delhi,N/A,竄ｹ2.75 Cr,1650 sqft,1650 sqft,Ready to Move,5 out of 7,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
"3 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",N/A,竄ｹ3.60 Cr,1260 sqft,1260 sqft,Ready to Move,8 out of 27,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in Sector 22 Dwarka New Delhi,N/A,竄ｹ3.12 Cr,1700 sqft,1700 sqft,Ready to Move,1 out of 7,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
