Title,Location,Price,Area,Carpet Area,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Ownership,Car Parking,Bathroom,Balcony
3 BHK Apartment for Sale in Sector 9 Rohini New Delhi,N/A,竄ｹ2.10 Cr,1000 sqft,1000 sqft,Ready to Move,1 out of 3,Resale,Furnished,North,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
3 BHK Apartment for Sale in Prasad Nagar New Delhi,N/A,竄ｹ2 Cr,1100 sqft,1100 sqft,Ready to Move,3 out of 3,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,2 Open,2,Yes
2 BHK Apartment for Sale in Sector 9 Rohini New Delhi,N/A,竄ｹ1.90 Cr,1000 sqft,1000 sqft,Ready to Move,2 out of 3,Resale,Furnished,North - West,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
4 BHK Apartment for Sale in Sector 22 Dwarka New Delhi,N/A,竄ｹ3.10 Cr,2400 sqft,N/A,Ready to Move,2 out of 10,Resale,Semi-Furnished,East,Garden/Park,Freehold,"1 Covered,",4,Yes
4 BHK Builder Floor for Sale in Block B Chittaranjan Park New Delhi,N/A,竄ｹ3.30 Cr,1350 sqft,1350 sqft,Ready to Move,1 out of 5,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",N/A,N/A,3,Yes
3 BHK Apartment for Sale in Patparganj New Delhi,N/A,竄ｹ1.85 Cr,1150 sqft,1150 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,N/A,3,Yes
3 BHK Builder Floor for Sale in Janakpuri New Delhi,N/A,竄ｹ3.30 Cr,1250 sqft,1250 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,East,Main Road,Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in A 2B Block Paschim Vihar New Delhi,N/A,竄ｹ1.85 Cr,900 sqft,900 sqft,Ready to Move,Ground out of 3,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,3,N/A
9 BHK House for Sale in Kohat Enclave New Delhi,N/A,竄ｹ29 Cr,3900 sqft,3900 sqft,Ready to Move,Ground out of 4,Resale,Furnished,North,"Garden/Park, Main Road",Freehold,1 Open,10,Yes
3 BHK Builder Floor for Sale in Kirti Nagar New Delhi,N/A,竄ｹ3.60 Cr,190 sqyrd,190 sqyrd,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,Main Road,Freehold,N/A,3,Yes
3 BHK Builder Floor for Sale in Mausam Vihar New Delhi,N/A,竄ｹ3.10 Cr,1700 sqft,1700 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in Lajpat Nagar New Delhi,N/A,竄ｹ2.10 Cr,103 sqm,103 sqm,Ready to Move,Ground out of 4,Resale,Unfurnished,East,Garden/Park,Freehold,N/A,1,Yes
"3 BHK Builder Floor for Sale in Dayanand Vihar, Anand Vihar New Delhi",N/A,竄ｹ2 Cr,1500 sqft,1500 sqft,Ready to Move,2 out of 4,Resale,Furnished,North - West,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Saket New Delhi,N/A,竄ｹ6 Cr,3500 sqft,3500 sqft,Ready to Move,1 out of 3,Resale,Semi-Furnished,East,Main Road,Freehold,2 Covered,4,Yes
"3 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",N/A,竄ｹ2.95 Cr,1150 sqft,1150 sqft,Ready to Move,2 out of 30,Resale,Semi-Furnished,West,Garden/Park,Freehold,N/A,2,Yes
2 BHK Builder Floor for Sale in Kalkaji New Delhi,N/A,竄ｹ1.87 Cr,900 sqft,900 sqft,Ready to Move,3 out of 4,Resale,Unfurnished,South - East,"Garden/Park, Main Road",Freehold,N/A,2,Yes
3 BHK House for Sale in Bhajanpura New Delhi,N/A,竄ｹ2.60 Cr,1200 sqft,1200 sqft,Ready to Move,1 out of 2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,1 Open,3,Yes
3 BHK Apartment for Sale in Vasundhara Enclave New Delhi,N/A,竄ｹ2 Cr,1100 sqft,1100 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
2 BHK Apartment for Sale in Dwarka New Delhi,N/A,竄ｹ1.90 Cr,1000 sqft,1000 sqft,Ready to Move,Ground out of 4,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,2,N/A
4 BHK Builder Floor for Sale in Kalyan Vihar New Delhi,N/A,竄ｹ5.25 Cr,3100 sqft,3100 sqft,Ready to Move,4 out of 4,Resale,Furnished,South -West,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
3 BHK Apartment for Sale in Kalkaji New Delhi,N/A,竄ｹ2.40 Cr,1300 sqft,1300 sqft,Ready to Move,1 out of 4,Resale,Unfurnished,N/A,Garden/Park,Freehold,N/A,2,Yes
3 BHK Builder Floor for Sale in Rajouri Garden New Delhi,N/A,竄ｹ3.60 Cr,190 sqyrd,190 sqyrd,Ready to Move,N/A,New Property,Semi-Furnished,East,Main Road,Freehold,2 Covered,3,Yes
3 BHK Builder Floor for Sale in Gagan Vihar Krishna Nagar New Delhi,N/A,竄ｹ1.80 Cr,1500 sqft,1500 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
2 BHK Apartment for Sale in Central Market Lajpat Nagar 2 New Delhi,N/A,竄ｹ1.50 Cr,850 sqft,850 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,West,Garden/Park,Freehold,1 Open,2,Yes
3 BHK Apartment for Sale in Sector 11 Dwarka New Delhi,N/A,竄ｹ3.50 Cr,1776 sqft,1776 sqft,Ready to Move,10 out of 10,Resale,Semi-Furnished,South - East,"Garden/Park, Main Road",Freehold,2 Covered,4,Yes
4 BHK Apartment for Sale in Sector 18 Dwarka New Delhi,N/A,竄ｹ4 Cr,1800 sqft,1800 sqft,Ready to Move,9 out of 10,Resale,Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,3,Yes
4 BHK Apartment for Sale in Pocket 10 Sector B Vasant Kunj New Delhi,N/A,竄ｹ5 Cr,1634 sqft,1634 sqft,Ready to Move,1 out of 3,New Property,Semi-Furnished,North - West,"Garden/Park, Main Road",Freehold,N/A,2,Yes
3 BHK Builder Floor for Sale in Kalkaji New Delhi,N/A,竄ｹ2.70 Cr,1700 sqft,1700 sqft,Ready to Move,3 out of 3,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,3,Yes
5 BHK Apartment for Sale in Pocket A Sector 17 Dwarka New Delhi,N/A,竄ｹ4 Cr,1500 sqft,1500 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,4,Yes
3 BHK Builder Floor for Sale in Block D Chittaranjan Park New Delhi,N/A,竄ｹ2.60 Cr,1250 sqft,1250 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,North - West,Main Road,Freehold,N/A,2,Yes
3 BHK Apartment for Sale in Sector 23 Dwarka New Delhi,N/A,竄ｹ2.50 Cr,1250 sqft,1250 sqft,Ready to Move,Ground out of 6,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,N/A,2,Yes
4 BHK Builder Floor for Sale in Dwarka Sector 3 New Delhi,N/A,竄ｹ3.05 Cr,1950 sqft,1950 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,East,Garden/Park,Freehold,N/A,3,Yes
